WELL NO.,DISTRICT,TALUKA,LOCATION,DATE,PH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,ALK,CA,MG,TH,NA,K,SAR
W231340073583701,Dohad,FATEPURA,Sarsava,May-18,8.52,671.0,449.57,36.0,110.0,50.0,15.0,102.0,1.2,150.0,80.0,12.0,250.0,43.0,4.7,1.18
W230900074030001,Dohad,FATEPURA,Sukhsar,May-18,8,706.0,473.02,0.0,195.0,57.0,56.0,64.0,1.35,160.0,64.0,14.0,220.0,63.0,1.5,1.85
W223615074021501,Dohad,DHANPUR,Tokarba,May-18,7.71,951.0,637.17,0.0,305.0,149.0,11.0,2.0,1.45,250.0,40.0,38.0,260.0,100.0,3.0,2.7
W224800074163001,Dohad,DOHAD,Varamkheda,May-18,7.81,858.0,574.86,0.0,244.0,57.0,54.0,125.0,1.61,200.0,88.0,26.0,330.0,60.0,1.8,1.44
W231045072503001,Gandhinagar,DEHGAM,Paliya,May-18,8.79,2179.0,1459.93,96.0,220.0,326.0,16.0,228.0,0.52,340.0,51.0,108.0,580.0,220.0,2.3,3.97
W231140072340001,Gandhinagar,GANDHINAGAR,Serthapara1,May-18,7.69,4718.0,3161.06,0.0,915.0,737.0,320.0,252.0,1.0,750.0,92.0,65.0,500.0,840.0,55.0,16.33
W215500069513001,Jamnagar,BHANVAD,Ambardi,May-18,7.86,1500.0,1005.0,0.0,384.0,234.0,65.0,50.0,0.7,315.0,64.0,83.0,500.0,110.0,1.3,2.14
W224945070334501,Jamnagar,JODIYA,Amran1,May-18,8.36,1262.0,845.54,48.0,256.0,142.0,5.0,126.0,0.88,290.0,24.0,34.0,200.0,194.0,2.6,5.96
W215415069573001,Jamnagar,JAMJODHPUR,Balwa,May-18,8.12,1265.0,847.55,0.0,323.0,213.0,48.0,26.0,0.27,265.0,132.0,24.0,430.0,89.0,4.6,1.87
W222615069540002,Jamnagar,JAMNAGAR,Bed1,May-18,7.66,2577.0,1726.59,0.0,311.0,482.0,170.0,205.0,0.16,255.0,220.0,134.0,1100.0,132.0,0.4,1.73
W224100070190001,Jamnagar,JODIYA,Bedanpur,May-18,7.71,3380.0,2264.6,0.0,244.0,957.0,100.0,55.0,0.39,200.0,280.0,169.0,1395.0,134.0,0.5,1.56
W215930069144502,Jamnagar,KALYANPUR,Bhogat1,May-18,8.03,1050.0,703.5,0.0,73.0,305.0,13.0,24.0,0.73,60.0,24.0,27.0,170.0,157.0,4.3,5.24
W222100070023001,Jamnagar,JAMNAGAR,Changa,May-18,8.03,2924.0,1959.08,0.0,439.0,511.0,43.0,330.0,0.17,360.0,242.0,143.0,1195.0,118.0,4.4,1.48
W223400070250001,Jamnagar,DHROL,Dhrol2,May-18,8,895.0,599.65,0.0,214.0,167.0,16.0,25.0,0.61,175.0,48.0,41.0,290.0,70.0,3.7,1.79
W224730070301501,Jamnagar,JODIYA,Dudhai2,May-18,8.34,750.0,502.5,24.0,171.0,92.0,8.0,52.0,0.55,180.0,40.0,5.0,120.0,115.0,1.8,4.56
W221445068573001,Jamnagar,OKHAMANDAL,Dwarka,May-18,7.87,4062.0,2721.54,0.0,415.0,1000.0,100.0,195.0,0.41,340.0,160.0,159.0,1055.0,434.0,31.0,5.81
W222700070000501,Jamnagar,JAMNAGAR,Gordhanpur,May-18,8.32,1020.0,683.4,18.0,262.0,160.0,7.0,25.0,0.57,245.0,24.0,39.0,220.0,130.0,1.7,3.81
W221615070200001,Jamnagar,KALAVAD,Haripur2,May-18,7.83,1160.0,777.2,0.0,238.0,149.0,150.0,50.0,0.62,195.0,92.0,46.0,420.0,71.0,2.6,1.51
