Well D,District,Taluka,Location,Type,pH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR,Arsenic,Unnamed: 23
W211400071150001,Amreli,KHAMBHA,Vankiya,Dug Well,8.17,890.0,596.0,0.0,403.0,57.0,57.0,20.0,0.33,330.0,68.0,41.0,340.0,64.0,0.6,1.51,8.0,
W211557071202001,Amreli,KUNDLA-SAVAR,Badhda,Dug Well,7.96,2250.0,1508.0,0.0,329.0,248.0,230.0,370.0,0.35,270.0,200.0,120.0,1000.0,90.0,1.3,1.24,3.0,
W212558071215001,Amreli,KUNDLA-SAVAR,Bhuva,Dug Well,8.22,9175.0,6147.0,0.0,671.0,2304.0,210.0,361.0,0.8,550.0,120.0,324.0,1650.0,1260.0,88.0,13.49,2.0,
W212330071174501,Amreli,KUNDLA-SAVAR,Charkhadia1,Dug Well,8.24,1322.0,886.0,0.0,549.0,106.0,66.0,21.0,0.65,450.0,24.0,17.0,130.0,252.0,4.1,9.61,4.0,
W211330071244001,Amreli,KUNDLA-SAVAR,Goradka,Dug Well,7.73,1595.0,1069.0,0.0,268.0,163.0,220.0,139.0,0.2,220.0,124.0,77.0,630.0,67.0,0.4,1.16,3.0,
W212300071280001,Amreli,KUNDLA-SAVAR,Piyava,Dug Well,8.28,1200.0,804.0,0.0,573.0,99.0,33.0,13.0,0.25,470.0,32.0,29.0,200.0,208.0,0.9,6.39,3.0,
W213945070590001,Amreli,KUNKAVAV-VADIA,Kunkavav,Dug Well,8.05,1116.0,748.0,0.0,329.0,184.0,60.0,106.0,0.34,270.0,64.0,50.0,370.0,148.0,1.9,3.35,2.0,
W214900071244501,Amreli,LATHI,Chavand,Dug Well,8.18,503.0,337.0,0.0,305.0,28.0,5.0,17.0,0.48,250.0,32.0,29.0,200.0,52.0,0.3,1.6,3.0,
W214315071230001,Amreli,LATHI,Lathi,Dug Well,8.42,830.0,556.0,72.0,183.0,80.0,22.0,100.0,0.6,270.0,52.0,14.0,190.0,146.0,2.3,4.61,4.0,
W213730071234501,Amreli,LATHI,Luvariya,Dug Well,8.43,644.0,431.0,72.0,207.0,43.0,11.0,24.0,1.5,290.0,16.0,2.0,50.0,156.0,0.2,9.59,8.0,
