"SN","Well D","District","Taluka","Location","Type","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K","SAR","Arsenic",""
"519","W230015071444501","Surendranagar","DASADA","Kherwa","Dug Well","8,05","2170","1454","0","281","440","1","189","1.05","230","96","49","440","285","7.1","5,91","2",""
"520","W232030071440001","Surendranagar","DASADA","Visawadi","Dug Well","8.13","1875","1256","0","439","355","9","51","1.15","360","52","34","270","304","12,5","8.04","9",""
"521","W230722071284701","Surendranagar","Dhangadhara","Kukavati","Dug Well","8.24","669","448","0","281","71","3","6","0,93","230","48","21","210","61","2.8","1,83","3",""
"522","W225030071353001","Surendranagar","DHRANGADHRA","Rajsitapur","Dug Well","8.25","896","600","0","464","71","5","6","0,70","380","24","15","120","172","4.8","6.83","1",""
"523","W225130071161501","Surendranagar","DHRANGADHRA","Ratanpur1","Dug Well","8.15","3017","2021","0","378","625","35","271","3.52","310","96","117","720","369","2.1","5,98","2",""
"524","W230030071170001","Surendranagar","HALVAD","Sukhpar1","Dug Well","8,03","2964","1986","0","512","525","165","153","1.15","420","64","53","380","499","1.5","11.13","8",""
"525","W225130071470001","Surendranagar","LAKHTAR","Lakhtar","Dug Well","8,28","864","579","0","244","135","0","9","1.55","200","40","12","150","118","9,9","4.19","2",""
"526","W224315071511502","Surendranagar","LAKHTAR","Tavi1","Dug Well","8.06","2768","1855","0","110","738","6","217","0,50","90","104","19","340","477","5.7","11.25","3",""
"527","W224000071494501","Surendranagar","LIMBDI","Shiyani","Dug Well","8.24","4874","3266","0","305","1065","60","561","0.85","250","240","85","950","670","5.3","9,45","1",""
"528","W223900071280001","Surendranagar","MULI","Muli","Dug Well","8.25","2461","1649","0","622","398","44","96","2.20","510","40","27","220","460","0.7","13.48","4",""
"529","W224431071154201","Surendranagar","Muli","Nava","Dug Well","8.09","2996","2007","0","293","639","80","250","0.20","240","166","24","500","450","0.7","8.75","4",""
"530","W224400071220001","Surendranagar","MULI","Sarla","Dug Well","8.27","1348","903","0","366","199","28","25","0.85","300","56","32","270","168","27.7","4.45","1",""
"531","W222245071210001","Surendranagar","SAYLA","Dhandhalpur","Dug Well","8.24","2020","1353","0","525","312","80","84","2.20","430","40","19","180","393","6.1","12.74","5",""
"532","W222715071290601","Surendranagar","Sayla","Sudamda","Dug Well","7.80","3557","2383","0","256","809","215","164","0.22","210","296","330","1080","290","2.4","3.84","13",""
"533","W224837071422101","Surendranagar","Wadhvan","Anindra","Dug Well","8.04","654","438","0","244","64","2","19","1.40","200","52","19","210","49","6.0","1.47","2",""
"534","W224630071440001","Surendranagar","WADHWAN","Dedadra","Dug Well","7.72","1714","1148","0","610","192","19","71","0.93","500","80","17","270","274","10.5","7.25","2",""
"535","W224847071362901","Surendranagar","Wadhvan","Latuda","Dug Well","8.14","2622","1757","0","537","440","21","200","1.00","440","56","83","480","323","111.2","6.41","3",""
"536","W224300071363001","Surendranagar","WADHWAN","Surendranagar2","Dug Well","8.16","2556","1713","0","451","497","30","146","0.55","370","64","63","420","385","3.3","8.17","2",""
"537","W230624071290301","Surendranagar","Dhangadhara","Ghansyam","Dug Well","8.25","335","224","0","171","36","2","2","0.30","140","32","10","120","35","2.1","1.39","3",""
"538","W225846071003201","Surendranagar","Halvad","Juna Devliya 1","Dug Well","7.29","1179","790","0","342","163","6","72","0.73","280","44","41","280","145","8.3","3.77","",""
"539","W225253071440801","Surendranagar","Lakhtar","Modhvana","Dug Well","8.14","790","529","0","220","114","2","46","0.40","180","44","21","200","89","9.0","2.74","2",""
"540","W222515071063701","Surendranagar","Chotila","Moti Moladi","Dug Well","7.70","4850","3250","0","232","1278","145","256","0.58","190","496","195","2040","166","0.5","1.60","4",""
"541","W225507071514801","Surendranagar","Lakhtar","Olak","Dug Well","8.28","767","514","0","232","121","7","9","0,55","190","36","29","210","78","8.5","2.34","2",""
"542","W230336071440301","Surendranagar","Dasada","Pipli","Dug Well","8.26","728","488","0","220","92","10","66","0.70","180","24","24","160","106","7,9","3.64","4",""
"543","W204530073410001","The Dangs","The dangs","Ahwa1","Dug Well","7.86","972","651","0","268","121","31","55","0.35","220","88","27","330","67","11.0","1.60","3",""
"544","W203830073413001","The Dangs","The dangs","Bari pada","Dug Well","7.80","346","232","0","183","36","12","33","0.25","150","52","15","190","26","0.3","0.82","3",""
"545","W204840073301501","The Dangs","The dangs","Bori gaotha","Dug Well","7.92","439","294","0","244","21","10","24","0.15","200","56","27","250","6","0.2","0.16","2",""
"546","W203930073411501","The Dangs","The dangs","Chikhli","Dug Well","7.85","363","243","0","195","14","6","15","0.20","160","44","19","190","5","0.4","0.16","2",""
"547","W204830073331001","The Dangs","The dangs","Chinchnogaotha","Dug Well","7.88","696","466","0","281","64","75","12","0.35","230","80","24","300","44","0.2","1.10","2",""
"548","W203845073473001","The Dangs","The dangs","Dhumkal","Dug Well","7.66","371","249","0","171","21","1","22","0.35","140","40","15","160","16","0.7","0,55","1",""
"549","W204800073441501","The Dangs","The dangs","Ghubita","Dug Well","7.96","397","266","0","195","21","1","99","0.25","160","44","39","270","11","0.1","0.29","1",""
"550","W203800073444501","The Dangs","The dangs","Jakana","Dug Well","7.96","609","408","0","232","43","36","28","0.20","190","64","24","260","23","0.8","0,62","2",""
"551","W203600073444501","The Dangs","The dangs","Malegaon","Dug Well","7.97","393","263","0","195","50","10","17","0.10","160","44","15","170","40","0.5","1.33","2",""
"552","W204815073364501","The Dangs","The dangs","Nadak khadi","Dug Well","7.99","425","285","0","244","28","16","15","0.25","200","48","7","150","55","0.2","1,95","2",""
"553","W204200073350001","The Dangs","The dangs","Nana pada","Dug Well","8.02","367","246","0","220","21","1","21","0.20","180","40","15","160","34","0.5","1.17","2",""
"554","W205200073370001","The Dangs","The dangs","Sodmal","Dug Well","8.06","424","284","0","244","28","1","17","0.30","200","48","17","190","32","0.1","1.01","2",""
"555","W205520073345001","The Dangs","The dangs","Subir","Dug Well","8.02","480","322","0","256","36","6","10","0.20","210","52","19","210","31","0.7","0.93","2",""
"556","W204100073433001","The Dangs","The dangs","Umberpada","Dug Well","8.04","459","308","0","220","36","14","29","0.10","180","60","15","210","29","0.1","0.87","2",""
"557","","The Dangs","The dangs","Amba Pada","Dug Well","7.78","318","213","0","183","21","4","9","0,35","150","36","15","150","20","1.1","0.71","2",""
"558","W204310073332501","The Dangs","The dangs","Sakarpatal","Dug Well","8.01","374","251","0","207","36","3","18","0.20","170","44","12","160","38","0.4","1.31","2",""
"559","W205242073310601","The Dangs","The dangs","Vazat Amba","Dug Well","8.10","463","310","0","244","36","8","7","0.10","200","52","22","220","21","0.2","0.62","2",""
"560","W204550073301601","The Dangs","The Dang","Waghai","Dug Well","8.06","481","322","0","268","36","1","10","0.25","220","56","15","200","38","1.4","1.17","2",""
"561","W222300073560001","Vadodara","CHHOTA UDAIPU","Asala","Dug Well","7.99","928","622","0","134","135","55","143","0,63","110","88","43","400","45","1.0","0.98","",""
"562","W221830074010002","Vadodara","CHHOTA UDAIPU","Chhota udepur","Dug Well","8.39","1358","910","108","405","99","7","45","2.36","512","84","31","340","171","6.1","4.03","2",""
"563","W222200074123001","Vadodara","CHHOTA UDAIPU","Ferkuva","Dug Well","8.21","1058","709","0","378","106","40","38","0.50","310","128","31","450","39","7.7","0.80","3",""
"564","W222200074043001","Vadodara","CHHOTA UDAIPU","Ghamodi","Dug Well","8.24","410","275","0","207","28","2","21","1.19","170","44","12","160","35","1.4","1.20","1",""
"565","W223100073563001","Vadodara","CHHOTA UDAIPU","Kevadi","Dug Well","8.18","510","342","0","232","43","2","34","1.19","190","48","17","190","47","0.6","1.48","3",""
"566","W221340073290001","Vadodara","DABHOI","Amreshwar","Dug Well","8.28","1363","913","0","390","213","5","71","0.60","320","84","29","380","149","8.9","3.32","2",""
"567","W220934073244501","Vadodara","DABHOI","Vega","Dug Well","9.01","3039","2036","300","122","603","7","125","1.92","600","100","168","950","300","7.8","4.23","12",""
"568","W222030073500001","Vadodara","JETPUR PAVI","Pavi","Dug Well","8.28","2779","1862","0","439","567","9","224","1.15","360","120","168","1000","190","6.7","2.61","1",""
"569","W221730073464501","Vadodara","JETPUR PAVI","Suskal","Dug Well","8.28","644","431","0","195","64","52","12","0.34","160","60","17","220","40","2.6","1.17","1",""
"570","W220040074050001","Vadodara","KAVANT","Moti chikhali","Dug Well","7.99","639","428","0","305","43","17","26","1.94","250","60","26","260","45","0.6","1.21","2",""
"571","W221200074023001","Vadodara","KAVANT","Panwad","Dug Well","7.85","1589","1065","0","500","248","38","3","0.77","410","156","38","550","97","28.5","1.80","1",""
"572","W220215073531501","Vadodara","NASVADI","Sengpur","Dug Well","8.08","596","399","0","256","43","34","23","0,65","210","68","24","270","25","0.8","0.66","2",""
"573","W220830072543001","Vadodara","PADRA","Masor","Dug Well","8.61","1780","1193","168","354","92","11","204","2.90","570","20","36","200","336","1.9","10.33","7",""
"574","W221500073430001","Vadodara","SANKHEDA","Alladpur","Dug Well","8.27","1460","978","0","598","128","10","61","1.06","490","78","65","460","132","3.6","2,68","2",""
"575","W221615073430001","Vadodara","SANKHEDA","Bodeli","Dug Well","8.02","1336","895","0","317","213","35","37","0.40","260","60","19","230","185","0,5","5.30","1",""
"576","W221240073442901","Vadodara","SANKHEDA","Govindpura","Dug Well","7.89","6132","4108","0","476","1702","38","154","0.24","390","180","55","1600","650","5.2","7.07","1",""
"577","W221330073404501","Vadodara","SANKHEDA","Makni","DCB","7,96","1591","1066","0","403","184","90","128","0.43","330","80","89","570","106","10.0","1.93","8",""
"578","W221515073383001","Vadodara","SANKHEDA","Pitha","Dug Well","8.24","2130","1427","0","781","284","22","16","1.10","640","84","96","610","200","30,0","3.52","7",""
"579","W224000073190001","Vadodara","SAVLI","Chhaliyar","Dug Well","8.38","870","583","84","159","50","9","110","1.00","270","36","53","310","72","1.1","1.78","1",""
"580","W223015073170001","Vadodara","SAVLI","Juna samalya","Dug Well","8.27","1800","1206","0","451","284","75","42","1.18","370","48","67","400","222","37.0","4.83","1",""
"581","W223600073140001","Vadodara","SAVLI","Rasulpur","Dug Well","8.15","1566","1049","0","476","277","31","15","0.50","390","80","41","370","196","25.0","4.43","4",""
"582","W222900073121001","Vadodara","SAVLI","Tundav","Dug Well","8.26","1018","682","0","366","99","44","72","0.40","300","44","60","360","46","77.0","1.05","4",""
"583","W224450073212001","Vadodara","SAVLI","Vejpur2","Dug Well","8.98","937","628","108","73","113","3","90","0.30","240","24","31","190","142","39.0","4.48","1",""
"584","W215445073203001","Vadodara","SINOR","Sinor","Dug Well","8.22","1277","856","0","525","121","7","42","0,44","430","64","89","530","57","4.1","1.08","",""
"585","W221630073263001","Vadodara","VAGHODIA","Patiyapura","Dug Well","8.23","1434","961","0","464","184","55","73","0.80","380","84","82","550","99","6.2","1.84","3",""
"586","W221700073301001","Vadodara","VAGHODIA","Saidal","Dug Well","7.93","5132","3438","0","427","1028","130","545","0.80","350","220","278","1700","365","88.8","3.85","4",""
"587","W221736073115401","Vadodara","Vadodara City","Kevada Bag","Dug Well","8.64","1594","1068","132","317","149","30","114","1.34","480","24","34","200","294","6.3","9.04","7",""
"588","W221609073124601","Vadodara","Vadodara City","ONGC","Dug Well","8.36","3387","2269","84","573","638","5","187","1.34","610","100","108","700","471","5.1","7.74","3",""
"589","W203100073171501","Valsad","DHARAMPUR","Awadha","Dug Well","8.01","508","340","0","256","36","3","14","0.10","210","52","22","220","27","0.1","0.79","2",""
"590","W203130073102001","Valsad","DHARAMPUR","Dharampur3","Dug Well","7.96","687","460","0","281","78","2","17","0.25","230","56","29","260","47","0.1","1.27","2",""
"591","W202800073093001","Valsad","DHARAMPUR","Lakadmal","Dug Well","8.20","428","287","0","146","43","2","6","0,55","120","40","15","160","14","0.8","0,48","3",""
"592","W202030073130001","Valsad","KAPRADA","Kaparda","Dug Well","8.13","210","141","0","98","21","1","9","0.10","80","28","5","90","14","4.3","0,64","2",""
"593","W202145072583001","Valsad","PARDI","Karwad","Dug Well","8.24","874","586","0","378","85","2","18","0,05","310","72","29","300","70","11.2","1.76","2",""
"594","W203036072554101","Valsad","PARDI","Udwada","Dug Well","7,98","936","627","0","329","99","26","27","0.30","270","80","41","370","42","0,5","0,95","2",""
"595","W201530072530001","Valsad","UMBERGAON","Dahli (bhilad)","Dug Well","8.17","843","565","0","366","78","15","27","0.20","300","76","34","330","56","0.1","1.34","2",""
"596","W201930072503001","Valsad","UMBERGAON","Kanadu","Dug Well","8.19","494","331","0","232","36","1","8","0,35","190","48","19","200","24","0,4","0,74","2",""
"597","W201300072503001","Valsad","UMBERGAON","Tumb","Dug Well","8.25","764","512","0","342","71","0","35","0.70","280","44","39","270","69","2.2","1,83","2",""
"598","W203800073013001","Valsad","VALSAD","Muli1","Dug Well","8.11","2423","1623","0","342","447","2","280","0,65","280","56","61","390","379","2.2","8.34","2",""
"599","W201130072450001","Valsad","UMBERGAON","Umargaon","Dug Well","8.12","934","626","0","329","107","14","15","0.15","270","56","39","300","69","5.3","1.73","3",""
