"SN","District","Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K","Fe","SAR"
"76","Bharuch","Sajod","8.10","2160","1447","0","891","269","12","6","2.10","730","28","26","180","440","3.6","","14.26"
"77","Bharuch","Bharuch","7.80","2960","1983","0","634","631","8","72","0.15","520","100","137","820","314","2.4","0.00","4.77"
"78","Bharuch","Kaswa","8.08","526","352","0","232","50","2","18","0.11","190","48","14","180","47","12.0","","1.52"
"79","Bharuch","Mahegam1","8.00","496","332","0","244","28","4","12","0.25","200","40","19","180","35","6.6","1.50","1.13"
"80","Bharuch","Navetha","8.00","3095","2074","0","488","780","4","48","0.20","400","132","110","790","323","65.0","","5.00"
"81","Bharuch","Jetpur1","8.10","1600","1072","0","695","142","17","2","0.65","570","72","46","370","193","39.0","","4.36"
"82","Bharuch","Raymal","8.28","1290","864","0","281","284","5","46","0.45","230","56","43","320","170","11.1","","4.13"
"83","Bharuch","Utraj","8.70","1048","702","108","24","149","4","158","0.50","200","16","42","230","162","2.5","","4.64"
"84","Bharuch","Dahegam","7.76","1110","744","0","427","135","20","8","0.04","350","84","34","350","100","40.0","","2.32"
"85","Bharuch","Kalak","7.60","1064","713","0","366","142","14","81","0.25","300","80","34","340","119","13.5","0.34","2.81"
"86","Bharuch","Kavi","7.90","3250","2178","0","854","404","180","240","0.32","700","20","72","350","270","600.0","0.00","6.27"
"87","Bharuch","Sarod","8.00","2300","1541","0","1000","206","4","36","0.58","820","52","137","700","210","5.3","","3.45"
"88","Bharuch","Tankari","7.96","2434","1631","0","903","333","14","30","0.60","740","44","74","420","346","69.0","0.06","7.34"
"89","Bharuch","Talodra","8.10","1169","783","0","378","149","3","88","0.83","310","16","82","380","110","4.5","0.10","2.45"
"90","Bharuch","Bhensli","7.56","600","402","0","268","57","3","19","0.25","220","40","12","150","80","10.8","0.43","2.84"
"91","Bharuch","Luhara","8.20","2917","1954","0","976","369","120","50","0.15","800","48","101","540","340","180.0","0.00","6.36"
"92","Bharuch","Nirnavi","8.20","900","603","0","415","71","2","5","0.28","340","36","29","210","110","22.0","6.25","3.30"
"93","Bharuch","Arethi","7.42","490","328","0","256","21","2","13","0.25","210","48","14","180","35","0.1","0.00","1.13"
"94","Bharuch","Kavachiya","7.90","2600","1742","0","427","532","6","216","0.40","350","420","48","1250","42","2.6","","0,52"
"95","Bharuch","Kondh","8.00","1613","1081","0","390","269","25","47","0.94","320","60","55","280","228","0.5","","5.92"
"96","Bharuch","Mokhdi","7.80","1153","773","0","488","92","13","8","0.25","400","108","41","440","51","4.1","","1.06"
"97","Bharuch","Netrang1","8.20","747","500","0","268","92","8","46","0.24","220","68","46","360","21","0.1","","0.48"
"98","Bharuch","Valia","7.92","3820","2559","0","342","922","10","486","1.20","280","260","96","1050","490","1.7","0.09","6.57"
"99","Bharuch","Chidra","8.00","1297","869","0","427","170","58","5","0.23","350","84","48","410","99","76.0","0.01","2.13"
"100","Bharuch","Jokhala","8.10","1150","771","0","464","71","16","125","1.15","380","68","46","360","123","1.9","0.01","2.82"
"101","Bharuch","Mungaj","8.12","675","452","0","329","28","3","26","0.35","270","76","24","290","23","0.3","0.00","0.59"
"102","Bharuch","Pakhajan","7.86","4263","2856","0","610","1063","10","106","0.15","500","200","144","1100","477","68.0","0.01","6.25"
"103","Bharuch","Sahol","7.50","6120","4100","0","195","1914","2","317","0.25","160","860","132","2700","242","3.8","0.75","2.02"
"104","Bharuch","Sindhav","6.90","16130","10807","0","769","5814","26","20","1.72","630","720","816","5200","1690","120.0","0.18","10.19"
"105","Bharuch","Vegra","7.90","1883","1262","0","281","433","6","68","0.15","230","68","41","340","269","34.9","0,02","6.34"
"106","Bhavnagar","Bhavnagar1","8.20","1451","972","0","427","227","38","34","0.35","350","40","36","250","226","0.3","0.00","6.21"
"107","Bhavnagar","Bhudel","8.00","4193","2809","0","610","881","270","120","0.50","500","64","180","900","553","15.8","","8.01"
