District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
Mahesana,UNJHA,Dosaj,7.75,4739.0,3175.0,550.0,160.0,36.0,568.0,92.7,0.0,268.0,884.0,87.0,221.0,0.55,220.0,0.055
Mahesana,KHERALU,Kheralu1,8.11,1486.0,996.0,310.0,36.0,53.0,214.0,0.0,0.0,464.0,163.0,19.0,135.0,2.5,380.0,0.444
Mahesana,MAHESANA,Maguna,8.12,5153.0,3453.0,1400.0,180.0,232.0,598.0,27.3,0.0,1000.0,91.0,31.0,1655.0,0.65,820.0,0.0
Mahesana,MAHESANA,Panchot,7.91,4288.0,2873.0,1400.0,120.0,268.0,295.0,76.2,0.0,378.0,817.0,8.0,535.0,0.35,310.0,0.013
Mahesana,KHERALU,Rampura1,8.12,873.0,585.0,190.0,32.0,26.0,123.0,2.1,0.0,378.0,50.0,7.0,65.0,0.9,310.0,0.234
Mahesana,UNJHA,Sihi,8.06,708.0,474.0,180.0,36.0,21.0,62.0,31.2,0.0,232.0,57.0,13.0,29.0,0.85,190.0,0.0
Mahesana,VISNAGAR,Tarabh,7.98,582.0,390.0,190.0,32.0,26.0,49.0,7.5,0.0,256.0,50.0,0.0,13.0,0.5,210.0,0.0
Mahesana,KHERALU,Unad1,8.28,1014.0,679.0,180.0,28.0,26.0,163.0,0.9,0.0,464.0,57.0,22.0,43.0,4.0,380.0,0.004
Mahesana,UNJHA,Unjha,8.11,3309.0,2217.0,850.0,100.0,146.0,270.0,55.1,0.0,451.0,533.0,144.0,179.0,1.1,370.0,0.068
Mahesana,KADI,Vidaj,8.5,2320.0,1554.0,250.0,53.0,29.0,415.0,105.3,84.0,342.0,355.0,28.0,193.0,0.3,420.0,0.0
Narmada,NANDOD,Garudeshwar,7.83,1200.0,804.0,450.0,48.0,79.0,76.0,3.2,0.0,549.0,85.0,51.0,1.0,0.68,450.0,0.059
Narmada,NANDOD,Hirapura,7.9,730.0,489.0,270.0,52.0,34.0,47.0,2.0,0.0,390.0,28.0,11.0,2.0,0.74,320.0,0.0
Narmada,Dediapada,Jankh,7.81,487.0,326.0,240.0,48.0,29.0,14.0,0.2,0.0,268.0,21.0,15.0,7.0,0.5,220.0,0.057
Narmada,DEDIAPADA,Kanbi pitha,7.87,680.0,456.0,380.0,80.0,43.0,27.0,4.1,0.0,456.0,28.0,11.0,15.0,0.35,374.0,0.021
Narmada,Dediapada,Khaidipada,7.84,618.0,414.0,260.0,60.0,26.0,38.0,1.4,0.0,342.0,35.0,8.0,5.0,0.34,280.0,0.724
Narmada,NANDOD,Khota amba,7.62,784.0,525.0,300.0,64.0,34.0,49.0,1.4,0.0,415.0,28.0,21.0,7.0,0.67,340.0,0.0
Narmada,TILAKWADA,Namaria,7.85,3188.0,2136.0,1250.0,140.0,216.0,190.0,1.9,0.0,671.0,603.0,175.0,103.0,1.15,550.0,0.074
Narmada,Dediapada,Ralda,8.04,440.0,295.0,210.0,32.0,31.0,14.0,0.2,0.0,244.0,21.0,2.0,7.0,0.68,200.0,0.0
Narmada,NANDOD,Rasela,8.01,1831.0,1227.0,610.0,188.0,34.0,181.0,38.4,0.0,476.0,347.0,124.0,16.0,0.44,390.0,0.069
Narmada,NANDOD,Ringani,8.02,467.0,313.0,240.0,52.0,26.0,14.0,1.6,0.0,244.0,28.0,4.0,25.0,0.46,200.0,0.0
Narmada,Sagbara,Salemba 1,7.69,857.0,574.0,380.0,72.0,48.0,34.0,1.1,0.0,378.0,78.0,19.0,16.0,0.34,310.0,0.035
Navsari,JALALPORE,Abrama,8.28,2554.0,1711.0,760.0,104.0,122.0,458.0,15.9,0.0,464.0,909.0,16.0,60.0,0.42,380.0,0.202
Navsari,VANSDA,Chandav,7.65,973.0,652.0,340.0,92.0,27.0,65.0,0.2,0.0,366.0,99.0,15.0,25.0,0.76,300.0,0.216
Navsari,JALALPORE,Chinam,8.28,2852.0,1911.0,320.0,40.0,54.0,364.0,318.0,0.0,939.0,440.0,20.0,100.0,0.15,770.0,0.34
Navsari,JALALPORE,Dandi,7.88,1626.0,1089.0,360.0,56.0,54.0,200.0,51.3,0.0,512.0,206.0,80.0,15.0,0.2,420.0,0.146
Navsari,GANDEVI,Duvada,8.26,945.0,633.0,300.0,48.0,44.0,101.0,1.4,0.0,488.0,50.0,13.0,34.0,0.9,400.0,0.172
Navsari,CHIKHLI,Kaliyari,7.67,907.0,608.0,370.0,64.0,54.0,44.0,0.3,0.0,342.0,99.0,41.0,10.0,0.2,280.0,0.054
Navsari,CHIKHLI,Khergam,7.96,757.0,507.0,220.0,72.0,10.0,73.0,0.9,0.0,329.0,64.0,14.0,5.0,0.23,270.0,0.43
Navsari,VANSDA,Moti Valzar,7.83,802.0,537.0,320.0,64.0,39.0,47.0,0.6,0.0,342.0,64.0,8.0,40.0,0.76,280.0,0.117
Navsari,NAVSARI,Navsari 1,7.65,5977.0,4005.0,1800.0,300.0,256.0,627.0,5.5,0.0,390.0,1740.0,6.0,338.0,0.42,320.0,0.382
Navsari,JALALPORE,Onjal,7.99,1501.0,1006.0,380.0,88.0,39.0,170.0,6.0,0.0,378.0,191.0,7.0,154.0,0.4,310.0,0.215
Navsari,CHIKHLI,Rankuva,7.97,425.0,285.0,130.0,36.0,10.0,40.0,0.6,0.0,107.0,21.0,12.0,85.0,0.3,88.0,0.347
Navsari,GANDEVI,Sari_khurd,8.56,1393.0,933.0,250.0,40.0,36.0,210.0,17.0,60.0,305.0,227.0,19.0,15.0,0.4,350.0,0.133
Navsari,JALALPORE,Ubhrat,8.05,772.0,517.0,200.0,56.0,15.0,93.0,17.5,0.0,342.0,57.0,19.0,22.0,0.65,280.0,1.491
Panchmahals,Jambughoda,Jambughoda,7.82,830.0,556.0,250.0,64.0,22.0,92.0,1.5,0.0,305.0,78.0,76.0,25.0,0.55,250.0,0.0
Panchmahals,GODHRA,Chhabanpur,7.91,985.0,660.0,330.0,80.0,31.0,76.0,1.3,0.0,403.0,78.0,54.0,8.0,0.75,330.0,0.0
Panchmahals,Kalol,Dhanol,8.15,2580.0,1729.0,200.0,60.0,12.0,523.0,2.4,0.0,964.0,319.0,56.0,38.0,2.56,790.0,0.155
Panchmahals,SANTRAMPUR,Gadhar,7.28,1104.0,740.0,440.0,120.0,34.0,56.0,3.5,0.0,427.0,99.0,36.0,38.0,0.84,350.0,0.019
